"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6Sy9BUbgFse0n0LPA5lwy5","Sandstorm","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","spotify:album:0Xks5v0dve8Gh2tRHIekjo","Before the Storm, Special Edition","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","2001-01-01","https://i.scdn.co/image/ab67616d0000b273f9ef39657ba18c612641ee6d","1","4","225493","https://p.scdn.co/mp3-preview/9e6a0d658fc0c31398bfc2e56abc54fade24115c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","FISGC9900001","spotify:user:11135692880","2020-02-11T16:07:56Z"
"spotify:track:3MEYFivt6bilQ9q9mFWZ4g","Alone","spotify:artist:64KEffDW9EtZ1y2vBYgq8T","Marshmello","spotify:album:7ePC9qS9mSOTY9E0YPP6yg","Alone","spotify:artist:64KEffDW9EtZ1y2vBYgq8T","Marshmello","2016-05-13","https://i.scdn.co/image/ab67616d0000b273956043cfb058f0be93022267","1","1","273802","https://p.scdn.co/mp3-preview/9f235497d1eb2a7e9368397ef4a22c6c13d40ef4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","CA6D21600147","spotify:user:11135692880","2020-02-11T16:08:07Z"
"spotify:track:6h5PAsRni4IRlxWr6uDPTP","More Than You Know","spotify:artist:2XnBwblw31dfGnspMIwgWz","Axwell /\ Ingrosso","spotify:album:6Ei5WWek37m1x9AjpSXTcJ","More Than You Know","spotify:artist:2XnBwblw31dfGnspMIwgWz, spotify:artist:1xNmvlEiICkRlRGqlNFZ43, spotify:artist:6hyMWrxGBsOx6sWcVj1DqP","Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso","2017-07-28","https://i.scdn.co/image/ab67616d0000b273fba6de0b38b0168d480b1a27","1","1","203000","https://p.scdn.co/mp3-preview/5630a95a43cdbf5380f0590b26b6d6e3670101c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM71701735","spotify:user:11135692880","2020-02-11T16:08:08Z"
"spotify:track:6r7FXNO57mlZCBY6PXcZZT","Five Hours","spotify:artist:6VD4UEUPvtsemqD3mmTqCR","Deorro","spotify:album:3hM67HrtJ55aUC5TGt66Za","Five Hours","spotify:artist:6VD4UEUPvtsemqD3mmTqCR","Deorro","2014-10-14","https://i.scdn.co/image/ab67616d0000b273318badd111f8e1f8ee812c64","1","1","326887","https://p.scdn.co/mp3-preview/34e230e463962fe98eaaf50f110c2ba2a5583014?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","CH3131340319","spotify:user:11135692880","2020-02-11T16:08:12Z"
"spotify:track:2P4OICZRVAQcYAV2JReRfj","Waiting For Love","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:7dqftJ3kas6D0VAdmt3k3V","Stories","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2015-10-02","https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468","1","1","230613","https://p.scdn.co/mp3-preview/f21c0795c2421dc2f13be21ce15a2478ba914920?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","CHB701400134","spotify:user:11135692880","2020-02-11T16:08:13Z"
"spotify:track:3ScJy88F8KqGDfWu8XJhHx","If I Lose Myself - Alesso vs OneRepublic","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ, spotify:artist:4AVFqumd2ogHFlRbKIjp1t","OneRepublic, Alesso","spotify:album:42UJjk8i8L0De7lQtu7sqi","Native","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2014-01-01","https://i.scdn.co/image/ab67616d0000b2736f91180b662ca15ad2fb88f0","1","19","215186","https://p.scdn.co/mp3-preview/549c7f2dcd2de342ad09e3f3cd722546eac93e98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USUM71303190","spotify:user:11135692880","2020-02-11T16:08:14Z"
"spotify:track:698ItKASDavgwZ3WjaWjtz","Faded","spotify:artist:7vk5e3vY1uw9plTHJAMwjN","Alan Walker","spotify:album:3nzuGtN3nXARvvecier4K0","Different World","spotify:artist:7vk5e3vY1uw9plTHJAMwjN","Alan Walker","2018-12-14","https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a","1","15","212106","https://p.scdn.co/mp3-preview/dd79198f4b4c43aef9c8e8e1c4708a402862dd0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","NOG841549010","spotify:user:11135692880","2020-02-11T16:08:15Z"
"spotify:track:60wwxj6Dd9NJlirf84wr2c","Clarity","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:7qRll6DYV06u2VuRPAVqug","Zedd, Foxes","spotify:album:7juWTdmjo0vYywWu8HiQxs","Clarity","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Zedd","2012-01-01","https://i.scdn.co/image/ab67616d0000b273941dd3b3343d9cb9329d37bf","1","5","271426","https://p.scdn.co/mp3-preview/b2fd1208b83b14121c261cfc1e74ec4439a16c8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUM71210662","spotify:user:11135692880","2020-02-11T16:08:20Z"
"spotify:track:4J7CKHCF3mdL4diUsmW8lq","Under Control (feat. Hurts)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:4AVFqumd2ogHFlRbKIjp1t, spotify:artist:3w4VAlllkAWI6m0AV0Gn6a","Calvin Harris, Alesso, Hurts","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","2","184280","https://p.scdn.co/mp3-preview/bdd2f974192fe8f02b1c195c64b825837d6efd8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBARL1301271","spotify:user:11135692880","2020-02-11T16:08:21Z"
"spotify:track:5L2l7mI8J1USMzhsmdjat9","Red Lights","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","spotify:album:4SHlBT6B3kL8bdj6X2xHRp","A Town Called Paradise","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","2014-06-13","https://i.scdn.co/image/ab67616d0000b2734ca8d06b996fb365b62d3d9c","1","1","262200","https://p.scdn.co/mp3-preview/36f55dcb05d4a050a5842d03b79eb3c4cc4115f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","CYA111300030","spotify:user:11135692880","2020-02-11T16:08:34Z"
"spotify:track:0pMUR7Uvp6vxlbG0qBFvgM","Better Off Alone","spotify:artist:2tbvDi9eXf9XXp06LupkED","Alice Deejay","spotify:album:5oPKlo7IBFXlh12tqDVoAU","Who Needs Guitars Anyway?","spotify:artist:2tbvDi9eXf9XXp06LupkED","Alice Deejay","2000","https://i.scdn.co/image/ab67616d0000b27318313757738929cd5486f17c","1","2","214883","https://p.scdn.co/mp3-preview/1351f3e191f38f51ff88a1e29e6fe552db539c36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","NLC529811119","spotify:user:11135692880","2020-02-11T16:08:58Z"
"spotify:track:7g8cjrj0sXScNE727685JE","Kernkraft 400 - DJ Gius Mix, Radio Edit","spotify:artist:7vFpNLbCXbBFs4kFBUlkSl","Zombie Nation","spotify:album:2qmrRoUZQemrKFr9PBMDHd","Kernkraft 400 Single Mixes","spotify:artist:7vFpNLbCXbBFs4kFBUlkSl","Zombie Nation","2006-03-07","https://i.scdn.co/image/ab67616d0000b273916e34ccc44c2b56cdd0d7e4","1","3","207266","https://p.scdn.co/mp3-preview/6c66a8fc9f9f9c59eb83ecdc3102630194252cf4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","DE-Z20-06-00039","spotify:user:11135692880","2020-02-11T16:09:07Z"
"spotify:track:6YUTL4dYpB9xZO5qExPf05","Summer","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","8","222533","https://p.scdn.co/mp3-preview/f8877a2ec4963cb11fa2c282a18e9015f2e8bfad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBARL1400296","spotify:user:11135692880","2020-02-11T16:09:11Z"
"spotify:track:1dFkD1JfRMzwO6hwUsE8aS","Spectrum","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:1mU61l2mcjEFraXZLpvVMo","Zedd, Matthew Koma","spotify:album:7juWTdmjo0vYywWu8HiQxs","Clarity","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Zedd","2012-01-01","https://i.scdn.co/image/ab67616d0000b273941dd3b3343d9cb9329d37bf","1","3","243413","https://p.scdn.co/mp3-preview/2e54103eff2a2e62fc9c956b06a216abebf98fbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USUM71205604","spotify:user:11135692880","2020-02-11T16:09:19Z"
"spotify:track:4h8VwCb1MTGoLKueQ1WgbD","Wake Me Up","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:1s9tU91VJt4sU5owi29GD3","True","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2013-09-13","https://i.scdn.co/image/ab67616d0000b2734cfcceb6f9b1aae8752810e7","1","1","247426","https://p.scdn.co/mp3-preview/231af03bbd2ec7f655575800e54a00633d7d9eac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","SEUM71301326","spotify:user:11135692880","2020-02-11T16:09:20Z"
"spotify:track:4b2tcjrG1qUkSdsqEFP2dB","Sun Is Shining","spotify:artist:2XnBwblw31dfGnspMIwgWz, spotify:artist:1xNmvlEiICkRlRGqlNFZ43, spotify:artist:6hyMWrxGBsOx6sWcVj1DqP","Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso","spotify:album:6Ei5WWek37m1x9AjpSXTcJ","More Than You Know","spotify:artist:2XnBwblw31dfGnspMIwgWz, spotify:artist:1xNmvlEiICkRlRGqlNFZ43, spotify:artist:6hyMWrxGBsOx6sWcVj1DqP","Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso","2017-07-28","https://i.scdn.co/image/ab67616d0000b273fba6de0b38b0168d480b1a27","1","7","254653","https://p.scdn.co/mp3-preview/1742490058adc7a6d209ac0b3a24d76546f00eb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USUG11500070","spotify:user:11135692880","2020-02-11T16:09:21Z"
"spotify:track:6PUIzlqotEmPuBfjbwYWOB","Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix","spotify:artist:00FQb4jTyendYWaN8pK0wa, spotify:artist:4Wjf8diP59VmPG7fi4y724","Lana Del Rey, Cedric Gervais","spotify:album:1fXwOvaqIdkhp5F3fiFbCv","Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) [Cedric Gervais Remix]","spotify:artist:00FQb4jTyendYWaN8pK0wa, spotify:artist:4Wjf8diP59VmPG7fi4y724","Lana Del Rey, Cedric Gervais","2013-02-01","https://i.scdn.co/image/ab67616d0000b273f8cdf8e85bc179a475d581ba","1","1","214912","https://p.scdn.co/mp3-preview/9f7bcc0561d385b41853058d5e0a354b3cbe0ff7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBUM71304610","spotify:user:11135692880","2020-02-11T16:09:22Z"
"spotify:track:2rgtCOVK2tpfao2VjURn84","Lovers on the Sun (feat. Sam Martin)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:66AE89GQTx88zLYhXn1wFK","David Guetta, Sam Martin","spotify:album:77UW17CZFyCaRLHdHeofZu","Listen","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","2014-11-10","https://i.scdn.co/image/ab67616d0000b2733862d62a50dc6b928651bdeb","1","4","203520","https://p.scdn.co/mp3-preview/4d78613e3219340ce955aeb4182b4b04a823412e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GB28K1400016","spotify:user:11135692880","2020-02-11T16:09:24Z"
