"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2AYEOC02WLhUiOoaig2SEH","Out of My League","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","spotify:album:3IWUFJCM3CvCCQIHQ4vtRK","More Than Just a Dream (Deluxe Edition)","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","2013-05-07","https://i.scdn.co/image/ab67616d0000b2735e145eb24e282b9554501a27","1","1","209386","https://p.scdn.co/mp3-preview/d50d8b3ce46da19a8f6b63539be7a10faee9a569?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USAT21300149","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:2biVG6BYnVVSwLYd1OjbPT","Dream Your Life Away (Deluxe Edition)","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-08-05","https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7","1","4","204280","https://p.scdn.co/mp3-preview/451bfb3a8be724d19e92ba5d0764126a10b8f64e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","AULI01385760","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6IGA5YrFiEr5ANrMqKkR6H","Good Grief","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","spotify:album:5NfeW0DqFVT3Su3kHBgTf4","Wild World","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","2016-09-09","https://i.scdn.co/image/ab67616d0000b273e13429d57208d9d69e91566e","1","1","206493","https://p.scdn.co/mp3-preview/4818c7d14613e5d9ec5b6299d7f3c825d8879af6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBUM71602854","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:567e29TDzLwZwfDuEpGTwo","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","spotify:album:576UTio7xgY7YUxrHMzxeI","F*CK LOVE 3+: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-27","https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a","1","3","141805","https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USSM12103949","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6dGnYIeXmHdcikdzNNDMm2","Here Comes The Sun - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","7","185733","https://p.scdn.co/mp3-preview/c92aa1522f4d342468892d77a4e55e27356aa295?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBAYE0601696","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1zsFr9rPcsMwRtqjDJJpnC","Hypnotized","spotify:artist:2WBJQGf1bT1kxuoqziH5g4, spotify:artist:4FrXHrpbDLNyO3pbVv8RmF","Purple Disco Machine, Sophie and the Giants","spotify:album:1IeEUrtmzQGatMM6uIA1in","Exotica","spotify:artist:2WBJQGf1bT1kxuoqziH5g4","Purple Disco Machine","2021-10-15","https://i.scdn.co/image/ab67616d0000b2736e2cd4b6c10cbcf5dbf2e8ad","1","8","195704","https://p.scdn.co/mp3-preview/cbc137b22478b28163e3eb836864d8a05a86af0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","AUDCB1701555","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0fYVliAYKHuPmECRs1pbRf","Renegades","spotify:artist:3NPpFNZtSTHheNBaWC82rB","X Ambassadors","spotify:album:7A8fZ2jjiu5heq7wNCutKN","VHS","spotify:artist:3NPpFNZtSTHheNBaWC82rB","X Ambassadors","2015-06-30","https://i.scdn.co/image/ab67616d0000b27352e8aa3275f7a3ee9c1e3628","1","2","195200","https://p.scdn.co/mp3-preview/92f258da5f3cef5f8790040f4d601dbb27c2516b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USUM71502643","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:053trmldheiFgDGCGgZ4WW","La Vita Com'è","spotify:artist:1h5O32I1o0VOnpLmKXLfRa","Max Gazzè","spotify:album:15gGqbI9XtUGoClVR33kmn","Maximilian","spotify:artist:1h5O32I1o0VOnpLmKXLfRa","Max Gazzè","2015-10-30","https://i.scdn.co/image/ab67616d0000b27338142aa25f939346c6a80416","1","4","233204","https://p.scdn.co/mp3-preview/9569597c4295b2c33484d48f4377b68d4ff94c24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","ITUM71501235","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0ei5muxdohCWLBGZLqdRXd","Fantastico (con Giorgio Poi)","spotify:artist:4x13f8mnFaaoUdFd5PPSgH, spotify:artist:4e250LmaRPGcp0rbUbJtJm, spotify:artist:422Vo1v0NaW7ZVU8EwvhKW","Golden Years, Drast, Giorgio Poi","spotify:album:7GrBztiTYeurqweiz70SfY","Fantastico (con Giorgio Poi)","spotify:artist:4x13f8mnFaaoUdFd5PPSgH, spotify:artist:4e250LmaRPGcp0rbUbJtJm","Golden Years, Drast","2023-04-12","https://i.scdn.co/image/ab67616d0000b273dd68e031f5c25d6f1fae95d1","1","1","133746","https://p.scdn.co/mp3-preview/6acc65b0b17055d0ab17198da552ab72c1f10ef0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITA642300027","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0GO8y8jQk1PkHzS31d699N","Tongue Tied","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","spotify:album:3oylWMc9TTC6Nx4I6U3axc","Never Trust a Happy Song","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","2011-09-02","https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b","1","2","218013","https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USAT21101334","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Dvkj6JhhA12EX05fT7y2e","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5r36AJ6VOJtp00oxSkBZ5h","Harry's House","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-05-20","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","1","4","167303","https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USSM12200612","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2RiBogNRfulkNf7fVbPOrJ","Saturday Sun","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:5f6Eu9QtujgGggq5qbbycV","Nation of Two","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2018-02-23","https://i.scdn.co/image/ab67616d0000b2739ac709b94022896013465886","1","4","214720","https://p.scdn.co/mp3-preview/342a7984570355ae44ec71f478203e6b9fbaf368?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USAT21705384","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4ofwffwvvnbSkrMSCKQDaC","Shotgun","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","spotify:album:2NaulYO6lGXTyIzWTJvRJj","Staying at Tamara's","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","2018-03-23","https://i.scdn.co/image/ab67616d0000b273103045cd1c29dd16a469f808","1","4","201287","https://p.scdn.co/mp3-preview/3d87ba7cbe8d7c7499cf86e46f7665b2b63639fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBARL1701372","spotify:user:","1970-01-01T00:00:00Z"
