"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0gFpaf1YGFOwFy5DZGYuzx","Quanto freddo fa","spotify:artist:5RiGhrEoM1SBjZoY25lCfe, spotify:artist:3sC3sCpqSYClSdKez9Rs6k","Nashley, Giaime","spotify:album:0cfRccuyBDOpk4zqIVJBYX","Quanto freddo fa","spotify:artist:5RiGhrEoM1SBjZoY25lCfe, spotify:artist:3sC3sCpqSYClSdKez9Rs6k","Nashley, Giaime","2019-09-19","https://i.scdn.co/image/ab67616d0000b273fd4afff8bb43f8bed712a154","1","1","189073","https://p.scdn.co/mp3-preview/1608cc28752676b876e66350fa6663e3a9eef318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ITK191900140","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0u2P5u6lvoDfwTYjAADbn4","lovely (with Khalid)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Billie Eilish, Khalid","spotify:album:2sBB17RXTamvj7Ncps15AK","lovely (with Khalid)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Billie Eilish, Khalid","2018-04-19","https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c","1","1","200185","https://p.scdn.co/mp3-preview/18b3cbbad11e488c24c76d0c697cec8618c15f96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USUM71804190","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3rhvUijV8sTacu0jKk2mRu","E fumo ancora","spotify:artist:5dPBeuSKtu5vLz1Et8YSVv","Mostro","spotify:album:7HsWWsuQm54lWmgCVt2jYM","Ogni maledetto giorno (Deluxe Edition)","spotify:artist:5dPBeuSKtu5vLz1Et8YSVv","Mostro","2017-09-01","https://i.scdn.co/image/ab67616d0000b2733d3a1d440043f2350d6df6cc","1","8","233250","https://p.scdn.co/mp3-preview/f8a39574b7ace04a89f1647d4495098803b8c633?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","IT1071700315","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5sfvzgf96i6nLyLELnrLZ6","Georgia","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:2biVG6BYnVVSwLYd1OjbPT","Dream Your Life Away (Deluxe Edition)","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-08-05","https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7","1","8","230506","https://p.scdn.co/mp3-preview/a32105f11635437e5a562f30e64ad9f7320c67c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USAT21402869","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4hOuJIB1norFj3j84oY2Cq","How You Been?","spotify:artist:4X8TR9pBFyewFlIDYt1o2s","Kevin Powers","spotify:album:3OkG4p15bJiPO4ZiWivmRv","How You Been?","spotify:artist:4X8TR9pBFyewFlIDYt1o2s","Kevin Powers","2020-06-19","https://i.scdn.co/image/ab67616d0000b273202bcedd2577bf3b7ebc4e5c","1","1","138352","https://p.scdn.co/mp3-preview/ecb1fa29dd5c93ac2282a7b265b47d5c76b119c9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","QZHN62096903","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:381VH1JFj9q08V1OMlPU5m","Le luci della città","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:3aKazjcDl544T21siS8lDp","Faccio un casino","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2017-05-05","https://i.scdn.co/image/ab67616d0000b27387f01b35a5806d46277a4316","1","10","177266","https://p.scdn.co/mp3-preview/c6ac5f504f574f3225e4a254827f4d9ced611d79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","ITNTP1700012","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1KMkcUvF7m3SDChDOa7i5L","WITHOUT YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:576UTio7xgY7YUxrHMzxeI","F*CK LOVE 3+: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-27","https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a","2","7","161384","https://p.scdn.co/mp3-preview/0cacbf2acaef9fc50d9ecd1f29eb33e543a5bc63?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USSM12006586","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1ibeKVCiXORhvUpMmtsQWq","Pieces","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","spotify:album:1aG8QbhABVtVxNlAkk8VBW","Chuck","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","2004-10-12","https://i.scdn.co/image/ab67616d0000b273cb38dd3dba8a0801bc1ee03a","1","11","182040","https://p.scdn.co/mp3-preview/b78e0eaf764bdc2a41d66dcec3088c7f39a37b2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USIR20400683","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0DSq4f2grIJOrawmfXkrRy","Andrea","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","spotify:album:1lqbweQ3w6orHhehLOlZim","ORO BLU","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2022-03-04","https://i.scdn.co/image/ab67616d0000b27311271c5cddba3610cb9b02cd","1","2","185125","https://p.scdn.co/mp3-preview/68538566e5cf2a76f5e74a4f18283c122298078b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITB002101416","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a","1","5","266773","https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBAYE0000267","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7m9OqQk4RVRkw9JJdeAw96","Jocelyn Flores","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","2","119133","https://p.scdn.co/mp3-preview/df466c4bb30333c2ee904e7c876920e418d41732?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USUYG1156892","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6J2LdBN97cDWn0MLxYh9HB","July","spotify:artist:55fhWPvDiMpLnE4ZzNXZyW","Noah Cyrus","spotify:album:5Gn3fFzlWL89j0hGumtXb5","THE END OF EVERYTHING","spotify:artist:55fhWPvDiMpLnE4ZzNXZyW","Noah Cyrus","2020-05-15","https://i.scdn.co/image/ab67616d0000b2737f66b73bd6e86f4c8d2a7692","1","6","156106","https://p.scdn.co/mp3-preview/ab2efd6b8bca3e91b935141a479283825d35627e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USQX91901092","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7gCe88FGMlkyURLPxglbAo","ALWAYS DO","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:576UTio7xgY7YUxrHMzxeI","F*CK LOVE 3+: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-27","https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a","2","4","151704","https://p.scdn.co/mp3-preview/dc0998ac905f910757fdbf82fa7c9d4b5dab2b8d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USSM12006583","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:51XoiEMAWOOzf6LRSDxp33","In Down","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","spotify:album:7a8pBg426ohFGpFaYWsvHf","LEON","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","2024-03-21","https://i.scdn.co/image/ab67616d0000b273b696c9dbfa799ebeb6cb86b7","1","12","186328","https://p.scdn.co/mp3-preview/3f0b9c0ad895058b39d28d062dc9562df3f0296b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","ITUM72400279","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:55XrFge2dEZwYzNl128DwN","Losing Interest","spotify:artist:5yaF4LUw7ON1RmE4O8Q03C, spotify:artist:2jjSx5EpZwv9iBAgFkGWPh, spotify:artist:1wxPItEzr7U7rGSMPqZ25r, spotify:artist:4GOxZH5EE1JMHO0z8QiW4t","itssvd, CORBAL, Shiloh Dynasty, Dibyo","spotify:album:23HhTqTaQNZ22OhnRtgrLu","Missing","spotify:artist:5yaF4LUw7ON1RmE4O8Q03C, spotify:artist:1wxPItEzr7U7rGSMPqZ25r","itssvd, Shiloh Dynasty","2017-02-12","https://i.scdn.co/image/ab67616d0000b273c3a0cae864f281d278e20328","1","2","120546","https://p.scdn.co/mp3-preview/ea498629b7ae53b5610619c5ab3f902ab7078da4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","QZ5AB1866380","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:03eJ2DclFWXYU8GWgANdmZ","bad vibes forever (feat. PnB Rock & Trippie Redd)","spotify:artist:15UsOTVnJzReFVN1VCnxy4, spotify:artist:21WS9wngs9AqFckK7yYJPM, spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","XXXTENTACION, PnB Rock, Trippie Redd","spotify:album:3hn46RDrEmoi4XhLjgdNjZ","Bad Vibes Forever","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2019-12-06","https://i.scdn.co/image/ab67616d0000b273fa96fd3251629605bb59345d","1","4","150475","https://p.scdn.co/mp3-preview/4e3dbca607cb61c2df213ae5b8dca748e7898c38?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USUYG1283992","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6me7F0aaZjwDo6RJ5MrfBD","Evergreen","spotify:artist:4qU7IJSReZnsLy5907Mtau","Richy Mitch & The Coal Miners","spotify:album:2weOG4ZiOjfxiuFMsHm9JQ","RMCM","spotify:artist:4qU7IJSReZnsLy5907Mtau","Richy Mitch & The Coal Miners","2017-05-17","https://i.scdn.co/image/ab67616d0000b2731cc17bae5ee17cce117e198a","1","1","87000","https://p.scdn.co/mp3-preview/fca7555fba8261b7ccc0aac1854a86033a12823b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","SEYOK1732035","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:10nyNJ6zNy2YVYLrcwLccB","No Surprises","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:6dVIqQ8qmQ5GBnJ9shOYGE","OK Computer","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","1997-05-28","https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856","1","10","229120","https://p.scdn.co/mp3-preview/969161ef645e3e89a4ee8a0274013dae480a9e2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBAYE9700386","spotify:user:","1970-01-01T00:00:00Z"
