"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4Kpjrzb1cBImDVrwfeIDG0","All Things Go","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","1","293733","https://p.scdn.co/mp3-preview/4b0ba35a3ecc0491aeb5e677e216d650f9e01d7a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","USCM51400362","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:5IFSbww3slw5bSBk6yAR8G","I Lied","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","2","304146","https://p.scdn.co/mp3-preview/0af19fc20966c116d6dc9c8288664f7f0c254daf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","USCM51400360","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:0z4Rd9d6Wn2sfCTa776sCj","The Crying Game","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:5Mq7iqCWBzofK39FBqblNc","Nicki Minaj, Jessie Ware","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","3","265226","https://p.scdn.co/mp3-preview/235db0b08369fcdf93ec64200da60c63f0a2ceab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","USCM51400361","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:0SqRx2qXC1H2Bojtz0tqHz","Get On Your Knees","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Nicki Minaj, Ariana Grande","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","4","216493","https://p.scdn.co/mp3-preview/9480983bd8b6901987f59d21049d2e68b3c266b9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","USCM51400382","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:4vgTAdLit4VNnxZ7YK06NW","Feeling Myself","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:6vWDO969PvNqNYHIOW5v0m","Nicki Minaj, Beyoncé","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","5","237840","https://p.scdn.co/mp3-preview/1b9cdd5436d2cadd5fcb5d72b9814507275f1665?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USCM51400377","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:1UZ25gykR30Oewh3dBRtVZ","Only","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Nicki Minaj, Drake, Lil Wayne, Chris Brown","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","6","312026","https://p.scdn.co/mp3-preview/439448e65b3724dfdf13d8caf23dee0f6b418095?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USCM51400340","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:1gpVAJuEUwSpQpwfD8v852","Want Some More","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","7","229626","https://p.scdn.co/mp3-preview/719ac186f962384a8df8ffe7c32f1860bc15f909?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","USCM51400380","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:6S5UlO7giUZBE0vcGIFr8N","Four Door Aventador","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","8","182666","https://p.scdn.co/mp3-preview/1b85eb5698aa7ad2c926b9eac498487c6d383843?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","USCM51400381","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:6SwWM2F2LIDy1a44Mr9h8f","Favorite","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:3KV3p5EY4AvKxOlhGHORLg","Nicki Minaj, Jeremih","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","9","242946","https://p.scdn.co/mp3-preview/c2da98e1a070ca4f19960164de07516ca354e9f3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","USCM51400385","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:6CiZFgpDbKfkot1pAgczdp","Buy A Heart","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:20sxb77xiYeusSH8cVdatc","Nicki Minaj, Meek Mill","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","10","255466","https://p.scdn.co/mp3-preview/ea82dd0c6d2831b6447a86f2daa19f0f9cc8267d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","USCM51400389","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:0lLzm3EXSFYgzQLP96sgeT","Trini Dem Girls","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:2iUbk5KhZYZt4CRvWbwb7S","Nicki Minaj, LunchMoney Lewis","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","11","194733","https://p.scdn.co/mp3-preview/a6b2924728223210a8a0e87e6e6ece3a031c519d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","USCM51400392","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:5eqiMMbaeUZ32Q7sS00H35","Anaconda","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","12","260239","https://p.scdn.co/mp3-preview/6bc615b589c833affd4ad11de627ec4048191c4c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USCM51400260","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:75u9uswC5UMdtv4SQ3xSYf","The Night Is Still Young","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","13","227560","https://p.scdn.co/mp3-preview/014d325976d5f3672c9a5d0ce734303ebea8ae4e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USCM51400402","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:0nnRUsgfm4uQUYTCIH9NZy","Pills N Potions","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","14","268000","https://p.scdn.co/mp3-preview/badd1d2aeef497aab3c94e04b2bc47a88df4ffd4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USCM51400162","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:1yQunV0upd4Eyu3rcOerD9","Bed Of Lies","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:4utLUGcTvOJFr6aqIJtYWV","Nicki Minaj, Skylar Grey","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","15","269946","https://p.scdn.co/mp3-preview/21af09076f7983a7cca152eab438c60dde7ae4be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USCM51400355","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:70CYAL35X3T73qVStJNpZ2","Grand Piano","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","16","259105","https://p.scdn.co/mp3-preview/467eb30753121287da6efbca523e8f229f2f5e64?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USCM51400359","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:6wV873oE2F23tdIN84CbSp","Big Daddy","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:20sxb77xiYeusSH8cVdatc","Nicki Minaj, Meek Mill","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","17","199706","https://p.scdn.co/mp3-preview/bdc2e8ec5a57215a1ee6ac4b4bd98b4c43fb0072?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","USCM51400379","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:6bXWsXHI7ZkPGtG8PN53Ln","Shanghai","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","18","219493","https://p.scdn.co/mp3-preview/b00e367b21202e2f3d34cf12e83efba5eb05a11f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","USCM51400398","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:4vGNhku2BMTIMsaGnfcNXC","Win Again","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","19","250453","https://p.scdn.co/mp3-preview/36c6abe0af259d01dfd6240ccaed056f700c07ef?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","USCM51400386","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:3FxrQ0BkayR5YNsC8C3R1T","Mona Lisa","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","20","208253","https://p.scdn.co/mp3-preview/02fc05e6ffae048c58382c914f62100a184adefb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","USCM51400391","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:6nphkAWXMeQYxDM7jwSGDu","Put You In A Room","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:40XGTQ7FN6Y3dZXJhKBe96","The Pinkprint - International Deluxe Explicit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2014-12-12","https://i.scdn.co/image/ab67616d0000b27305d647d0e976e7fb2460492e","1","21","179893","https://p.scdn.co/mp3-preview/beb5653b2c06235a96c73e431c0b15e78c261d6d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","USCM51400395","spotify:user:pivimkh","2015-06-11T09:07:11Z"
"spotify:track:4CNIiODuKS3NJ8qPALVwMp","Roman Holiday","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:25hgXh4ZOyncVZarZEHycm","Pink Friday ... Roman Reloaded (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b2739e3a08094c5e058c1921f608","1","1","245706","https://p.scdn.co/mp3-preview/05c96dd26220347aeae17bee6d444e44d2d28cfc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51200093","spotify:user:pivimkh","2015-06-11T09:07:53Z"
"spotify:track:2j9mLiyZnYAK7wqJ1Mn8yD","HOV Lane","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:25hgXh4ZOyncVZarZEHycm","Pink Friday ... Roman Reloaded (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b2739e3a08094c5e058c1921f608","1","5","193480","https://p.scdn.co/mp3-preview/7f9a0f7d9b3b9f454d19bd5d1291647fce415e3b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51200101","spotify:user:pivimkh","2015-06-11T09:07:53Z"
"spotify:track:0YzzPwaX9290mmNV2uSmcD","Right By My Side","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Nicki Minaj, Chris Brown","spotify:album:25hgXh4ZOyncVZarZEHycm","Pink Friday ... Roman Reloaded (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b2739e3a08094c5e058c1921f608","1","8","265333","https://p.scdn.co/mp3-preview/fe1a8cdfa21e340c37f0fe3ed7180d19ec12b5b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51200105","spotify:user:pivimkh","2015-06-11T09:07:53Z"
"spotify:track:6QOa1PLDUp54tzJHH1vnsf","Starships","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:25hgXh4ZOyncVZarZEHycm","Pink Friday ... Roman Reloaded (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b2739e3a08094c5e058c1921f608","1","10","210626","https://p.scdn.co/mp3-preview/394733516cbfb50de32d089428542875e77251ed?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51200060","spotify:user:pivimkh","2015-06-11T09:07:53Z"
"spotify:track:0jaFadjn9PwHr8ZcqhZmAH","Pound The Alarm","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:25hgXh4ZOyncVZarZEHycm","Pink Friday ... Roman Reloaded (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b2739e3a08094c5e058c1921f608","1","11","205640","https://p.scdn.co/mp3-preview/a450c0fd2fd121b8c9c0da24b54e596dba445e8b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51200111","spotify:user:pivimkh","2015-06-11T09:07:53Z"
"spotify:track:2Kxeqcs66wQENKJMyCW2xG","Stupid Hoe","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:25hgXh4ZOyncVZarZEHycm","Pink Friday ... Roman Reloaded (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b2739e3a08094c5e058c1921f608","1","19","196800","https://p.scdn.co/mp3-preview/f7fb6f5367777108b1ee45c8363dc0e9df00da7d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51100788","spotify:user:pivimkh","2015-06-11T09:07:53Z"
"spotify:track:4GTIbM3dUxv6W7chMwAvfG","Masquerade","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:25hgXh4ZOyncVZarZEHycm","Pink Friday ... Roman Reloaded (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b2739e3a08094c5e058c1921f608","1","21","228600","https://p.scdn.co/mp3-preview/240e4d5c71478f554345ca105281e67587cfa2e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51200127","spotify:user:pivimkh","2015-06-11T09:07:53Z"
"spotify:track:5k3LD7YYDR0VSnnnLyiweo","Up In Flames","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","1","1","305933","https://p.scdn.co/mp3-preview/78d8e518f05eb4879de3d2813b6733cdc718f592?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","USCM51200741","spotify:user:pivimkh","2015-06-11T09:08:47Z"
"spotify:track:0cXKGzMAGPDLWTnpbV5pij","Hell Yeah","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:3cjyqM4lb0grqM0j4opTXM","Nicki Minaj, Parker Ighile","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","1","3","251026","https://p.scdn.co/mp3-preview/231e1f80029acf215030a992d9cf1e711f0fc71c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","USCM51200743","spotify:user:pivimkh","2015-06-11T09:08:47Z"
"spotify:track:3UrNOHCzVxX2KZbNcKQAyu","High School","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:55Aa2cqylxrFIXC767Z865","Nicki Minaj, Lil Wayne","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","1","4","218746","https://p.scdn.co/mp3-preview/c5d9303e008ed41601d6b739187428a10d30335c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USCM51200744","spotify:user:pivimkh","2015-06-11T09:08:47Z"
"spotify:track:5VH29X65xVLfH2TwD9EcxO","I'm Legit","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:2NdeV5rLm47xAvogXrYhJX","Nicki Minaj, Ciara","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","1","5","198053","https://p.scdn.co/mp3-preview/b0baf807127adecd6f583b0a0ada2e2016581d59?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USCM51200745","spotify:user:pivimkh","2015-06-11T09:08:47Z"
"spotify:track:5EPvKTdqjN4OMlrQf6t5Wp","I Endorse These Strippers","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:5LHRHt1k9lMyONurDHEdrp, spotify:artist:5ZydGR5KkXdV6XGJ9mYvdh","Nicki Minaj, Tyga, Thomas Brinx","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","1","6","262533","https://p.scdn.co/mp3-preview/d0ec3009105c517cbfc060d84ef9934f0af7388f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","USCM51200746","spotify:user:pivimkh","2015-06-11T09:08:47Z"
"spotify:track:1I9yF0q9snr3VYVfqIVWt1","The Boys","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:27FGXRNruFoOdf1vP8dqcH","Nicki Minaj, Cassie","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","1","7","248933","https://p.scdn.co/mp3-preview/a5c2de69672d2e4b39a8c31db1d6bd65a5d8fa8a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","USCM51200686","spotify:user:pivimkh","2015-06-11T09:08:47Z"
"spotify:track:2TLU9crGyk56PhgQTWuTvt","Va Va Voom","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","1","8","182280","https://p.scdn.co/mp3-preview/a7eb008c385f20922a5fe22ed74418bdef80f802?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","USCM51200109","spotify:user:pivimkh","2015-06-11T09:08:47Z"
"spotify:track:2v5sitlzPeI2hdZeMMxtqk","Come On A Cone","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","2","2","185293","https://p.scdn.co/mp3-preview/6b206f2d3e238c4346c088575c51027db5ae1bf9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","USCM51200095","spotify:user:pivimkh","2015-06-11T09:08:57Z"
"spotify:track:1pmaNc1vjYFARzU57BCUD3","I Am Your Leader","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:7iMvwE8qANp3aIfAGKEAwS, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Nicki Minaj, Cam'ron, Rick Ross","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","2","3","213733","https://p.scdn.co/mp3-preview/7e3d09424c8950d0f25d65429a55f4068d497569?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","USCM51200097","spotify:user:pivimkh","2015-06-11T09:08:57Z"
"spotify:track:2epGMZt9GFdH1etwMbQcFm","Beez In The Trap","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:17lzZA2AlOHwCwFALHttmp","Nicki Minaj, 2 Chainz","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","2","4","268480","https://p.scdn.co/mp3-preview/efd9d52351c36a45d35e95b83c996d5c24cb7bdc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","USCM51200099","spotify:user:pivimkh","2015-06-11T09:08:57Z"
"spotify:track:5iGHXBSUbC4F0tW2cC8BKk","Roman Reloaded","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:55Aa2cqylxrFIXC767Z865","Nicki Minaj, Lil Wayne","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","2","6","196786","https://p.scdn.co/mp3-preview/0dab26fd36b42958e21992d5fa584f91565cd16a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","USCM51200131","spotify:user:pivimkh","2015-06-11T09:08:57Z"
