"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4g3Ax56IslQkI6XVfYKVc5","The Less I Know The Better","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:0rxKf57PZvWEoU8v3m5W2q","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2734ed139a5d193ec2b704cf28f","1","7","216318","https://p.scdn.co/mp3-preview/3ad63797e17bda6d46d081049c8c3710e3ab2797?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","AUUM71500303","spotify:user:11135692880","2017-08-30T11:19:49Z"
"spotify:track:1jJci4qxiYcOHhQR247rEU","Kids","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","5","302840","https://p.scdn.co/mp3-preview/efb065069d22384206b0fc703c6f99734d33411d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USSM10702135","spotify:user:11135692880","2017-08-30T11:19:49Z"
"spotify:track:3FtYbEfBqAlGO46NUDQSAt","Electric Feel","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","4","229640","https://p.scdn.co/mp3-preview/b288d1b3245bfa82243267c77fe152dbd696f3c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSM10702131","spotify:user:11135692880","2017-08-30T11:19:49Z"
"spotify:track:4iG2gAwKXsOcijVaVXzRPW","Time to Pretend","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","1","261000","https://p.scdn.co/mp3-preview/7f430e9ee8be92d4582b741f465fd38cece48ed5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USSM10702127","spotify:user:11135692880","2017-08-30T11:19:49Z"
"spotify:track:0MVE8I80hHgzidIMT0wghI","Your Life Is a Lie","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:0a4MASgg8wxOyUeoOZzuhc","MGMT","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2013-09-16","https://i.scdn.co/image/ab67616d0000b2736b240080820ab1eb8193ccf1","1","5","126013","https://p.scdn.co/mp3-preview/6ce38665828d718200b268e3f686dab3d65dacb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USSM11303759","spotify:user:11135692880","2017-08-30T11:19:49Z"
"spotify:track:33rOTAUrmU6RTu3WsJLp5Q","Alien Days","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:0a4MASgg8wxOyUeoOZzuhc","MGMT","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2013-09-16","https://i.scdn.co/image/ab67616d0000b2736b240080820ab1eb8193ccf1","1","1","308133","https://p.scdn.co/mp3-preview/ed65ca1634edc3291accaa1175d9c7682516b729?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USSM11300963","spotify:user:11135692880","2017-08-30T11:19:49Z"
"spotify:track:6kblAEj0T0312fv5QWsXzo","Congratulations","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:3HA1Ru1gEAgaxTywkJmBOL","Congratulations","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2010-04-09","https://i.scdn.co/image/ab67616d0000b273a38f4c1b8f53a2f792ffb561","1","9","235386","https://p.scdn.co/mp3-preview/22e8d8202d513e351b5455b745f28758ee11a980?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM11000450","spotify:user:11135692880","2017-08-30T11:19:49Z"
"spotify:track:2073QOEC8rBtSyTsRyaWiP","I Can Change","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:4hnqM0JK4CM1phwfq1Ldyz","This Is Happening","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2010-05-17","https://i.scdn.co/image/ab67616d0000b273ee0d0dce888c6c8a70db6e8b","1","5","352003","https://p.scdn.co/mp3-preview/791068b5d25b29210ecf3de1aeeea57e2f046c4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","US4GE1000023","spotify:user:11135692880","2017-08-30T11:25:26Z"
"spotify:track:73mlvsfJM2qwlDUJxeaatI","Daft Punk Is Playing at My House","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:6aSk2vxoY3xtz7cXKuY9EL","LCD Soundsystem","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2005-01-24","https://i.scdn.co/image/ab67616d0000b27375ec666254c50336a378ad01","1","1","314556","https://p.scdn.co/mp3-preview/d3bb2f4e05b90fc02d4921543024c08657d6f4d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","US4GE0400025","spotify:user:11135692880","2017-08-30T11:25:26Z"
"spotify:track:286TLtk120rnrmVeQClDTc","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","spotify:album:60XBzSNNCCgdE6IsPUdMQn","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","2008-01-01","https://i.scdn.co/image/ab67616d0000b2732a6ab83ec179747bc3b190dc","1","2","198440","https://p.scdn.co/mp3-preview/7b3e099a5fa998619afa9556249a805712ea72a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","AUEI10800039","spotify:user:11135692880","2017-08-30T11:25:42Z"
"spotify:track:34WI9hCaE3AzbOYT9wFXLP","High And Low","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","spotify:album:4ARTgZcw7MLmjQkZ4zPptP","Two Vines (Deluxe)","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","2016-10-28","https://i.scdn.co/image/ab67616d0000b273656928563a0d1008d6bfbe4a","1","2","224840","https://p.scdn.co/mp3-preview/5b290ebe589c5d6ffaeb822f6bab87dcc6c23129?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","AUUM71600588","spotify:user:11135692880","2017-08-30T11:25:42Z"
"spotify:track:5YUlyo3ChqFBEFI8opsPix","We Are The People","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","spotify:album:60XBzSNNCCgdE6IsPUdMQn","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","2008-01-01","https://i.scdn.co/image/ab67616d0000b2732a6ab83ec179747bc3b190dc","1","4","267354","https://p.scdn.co/mp3-preview/afbe7f0ea1a72e44d307790bc7529690536c585c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","AUEI10800041","spotify:user:11135692880","2017-08-30T11:25:42Z"
"spotify:track:2O9O26335YYVckmRgPKY3s","Alive","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","spotify:album:4phgwA30YOM1BAhJEm96Al","Ice On The Dune","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","2013-01-01","https://i.scdn.co/image/ab67616d0000b273cf06b7a58c6bf3e90102bf05","1","3","204546","https://p.scdn.co/mp3-preview/6ff636e94313f108046d51ea949ff8fc052273e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","AUEI11300006","spotify:user:11135692880","2017-08-30T11:25:42Z"
"spotify:track:6SjKnzmgxz3xnnLXP2byMf","These Boots Are Made For Walkin' - Radio Edit","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","spotify:album:165MnMfp9hGYlq3BzMw2BX","The Great Shake + 2","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","2012-01-01","https://i.scdn.co/image/ab67616d0000b273fe79136de26e9d612157480a","1","1","197413","https://p.scdn.co/mp3-preview/55518a9f2680ceafd3920eb3452809afae741363?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITB151100012","spotify:user:11135692880","2017-09-18T18:22:08Z"
"spotify:track:2onywRzOZePtOPBMYY0RfA","Another Sunrise","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","spotify:album:4FErKGfZTKahMJwfTv2X2j","The Great Shake","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","2011-01-01","https://i.scdn.co/image/ab67616d0000b273d9053536b997ce741f4a4072","1","2","240706","https://p.scdn.co/mp3-preview/b93fc3fbebe1f92e9dc8579723895ca98879666e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITB151100001","spotify:user:11135692880","2017-09-18T18:22:15Z"
"spotify:track:77dRMsf3qPiG9DRFZfRg3p","Vowels","spotify:artist:4gwpcMTbLWtBUlOijbVpuu","Capital Cities","spotify:album:2KlqGunMrftkE1e3WoJI0M","Vowels","spotify:artist:4gwpcMTbLWtBUlOijbVpuu","Capital Cities","2016-09-16","https://i.scdn.co/image/ab67616d0000b2737f74667083f232c59f299e10","1","1","185777","https://p.scdn.co/mp3-preview/1621ea1b158836672baec79aec93f01aec9fc21b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USUG11600807","spotify:user:11135692880","2018-07-25T06:45:07Z"
"spotify:track:2X485T9Z5Ly0xyaghN73ed","Let It Happen","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","1","467586","https://p.scdn.co/mp3-preview/2cfd4012a9ac9bac50a308cfc17b4173a7a84aae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","AUUM71500292","spotify:user:11135692880","2018-08-07T18:34:26Z"
