"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:78QX2wFWwOV2X43tWJccrY","Nostradamus","spotify:artist:5dPBeuSKtu5vLz1Et8YSVv","Mostro","spotify:album:2vMerbYVrKPqfiAtoMKy5y","Sinceramente Mostro","spotify:artist:5dPBeuSKtu5vLz1Et8YSVv","Mostro","2020-03-03","https://i.scdn.co/image/ab67616d0000b2734ae67f03a0a238ad6cdc6cf3","1","6","149500","https://p.scdn.co/mp3-preview/3439700a28721514d12ed6de16e7ea8825954481?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","IT1O72000580","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:0VMGL7KoAfjN3UnTL6aB5o","Sesto senso","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","spotify:album:1IAGA62BsUpc8TjhBZuDsn","Going Hard 2","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","2021-09-02","https://i.scdn.co/image/ab67616d0000b27323f14c95a49443cb70e79f18","1","6","181176","https://p.scdn.co/mp3-preview/934c21b1dedd5d93a858c7e695d31c99d496c826?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","ITK192100094","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:7kyOleSPiSg5rtARYbaIFk","Profezia","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","spotify:album:7a8pBg426ohFGpFaYWsvHf","LEON","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","2024-03-21","https://i.scdn.co/image/ab67616d0000b273b696c9dbfa799ebeb6cb86b7","1","1","138750","https://p.scdn.co/mp3-preview/200db7050eee2a1cbe2506d0fa91c239cd525d51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITUM72300761","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:2wisNgYa40XJz9SHd8PEXE","NO PROBLEM","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","spotify:album:0EPRc36lZm7irBGc6dVQTY","CHE IO MI AIUTI","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2020-02-14","https://i.scdn.co/image/ab67616d0000b273999bba2d78592df3e96539db","1","7","216023","https://p.scdn.co/mp3-preview/e92521074084e3537f9e3862d45607e950dfb011?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITB001900370","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:2biVG6BYnVVSwLYd1OjbPT","Dream Your Life Away (Deluxe Edition)","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-08-05","https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7","1","4","204280","https://p.scdn.co/mp3-preview/451bfb3a8be724d19e92ba5d0764126a10b8f64e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","AULI01385760","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:2ixsaeFioXJmMgkkbd4uj1","Budapest","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","spotify:album:6mcMKGEgukjyiR5IKElQ2E","Wanted on Voyage (Expanded Edition)","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","2014-06-30","https://i.scdn.co/image/ab67616d0000b273d6df3bccf3ec41ea2f76debc","1","2","200733","https://p.scdn.co/mp3-preview/03e6f12a87c862370fe965eb330fbcab1f2ee93f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBARL1400477","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:4jvjzW7Hm0yK4LvvE0Paz9","Falling Down - Bonus Track","spotify:artist:2kCcBybjl3SAtIcwdWpUe3, spotify:artist:15UsOTVnJzReFVN1VCnxy4","Lil Peep, XXXTENTACION","spotify:album:52JymrguPgkmmwLaWIusst","Come Over When You're Sober, Pt. 2","spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Lil Peep","2018-11-09","https://i.scdn.co/image/ab67616d0000b27355e36b0dc5b0ef008fc85319","1","12","196400","https://p.scdn.co/mp3-preview/9404f45725ef5d46e29a539c7da1fc4315cf5a69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USQX91802294","spotify:user:215jggoqy3fuc4zqw4mkirtuy","2024-10-02T19:49:07Z"
"spotify:track:2ihCaVdNZmnHZWt0fvAM7B","Little Talks","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:4p9dVvZDaZliSjTCbFRhJy","My Head Is An Animal","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2012-01-01","https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262","1","6","266600","https://p.scdn.co/mp3-preview/a5dad05d521739606a83da0f00d3dc48344c6d77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71119106","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:1Y373MqadDRtclJNdnUXVc","Paranoid - 2012 - Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:6r7LZXAVueS5DqdrvXJJK7","Paranoid (Remaster)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b273d5fccf9ce08b6a1e7d12a222","1","2","168405","https://p.scdn.co/mp3-preview/8b4eb14f1ee6731c90c04cf006b3f18fe0cebaa0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USWB11304628","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:78lgmZwycJ3nzsdgmPPGNx","Immigrant Song - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:6P5QHz4XtxOmS5EuiGIPut","Led Zeppelin III (Remaster)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1970","https://i.scdn.co/image/ab67616d0000b27390a50cfe99a4c19ff3cbfbdb","1","1","146250","https://p.scdn.co/mp3-preview/f50f3416ea0807503e172ba87a92d8047d4f95da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USAT21300934","spotify:user:215jggoqy3fuc4zqw4mkirtuy","2024-10-02T19:49:07Z"
"spotify:track:3UULkHdmLDqBDPmBYltoRE","Metalingus","spotify:artist:4DWX7u8BV0vZIQSpJQQDWU","Alter Bridge","spotify:album:6hqietEuZCikevdO2oGTcx","One Day Remains","spotify:artist:4DWX7u8BV0vZIQSpJQQDWU","Alter Bridge","2004-08-10","https://i.scdn.co/image/ab67616d0000b273bc7ddb77993dd1d8d19c22a2","1","5","259959","https://p.scdn.co/mp3-preview/7aa6b385f962615ead91ad452b78a7b17a119f46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USWU30400101","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:4BP3uh0hFLFRb5cjsgLqDh","Fortunate Son","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","spotify:album:31q47gQszFt0CddSyMksgO","Willy And The Poor Boys (Expanded Edition)","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","1969-11-02","https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5","1","6","140773","https://p.scdn.co/mp3-preview/3240fb7f732ebc6f9cc83df560dceeab925bba92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USC4R0817618","spotify:user:215jggoqy3fuc4zqw4mkirtuy","2024-10-02T19:49:07Z"
"spotify:track:70ATm56tH7OrQ1zurYssz0","I Need A Doctor","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:4utLUGcTvOJFr6aqIJtYWV","Dr. Dre, Eminem, Skylar Grey","spotify:album:45IcnOlgrZDKNwwbNO7CAn","I Need A Doctor","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","Dr. Dre","2011-02-01","https://i.scdn.co/image/ab67616d0000b273d27f8a33b8a8c0417cdca53f","1","1","283733","https://p.scdn.co/mp3-preview/4baaf6c8f5c41afbc17120cf0c5272734ed1baac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USUM71029031","spotify:user:215jggoqy3fuc4zqw4mkirtuy","2024-10-02T19:49:07Z"
"spotify:track:2nLtzopw4rPReszdYBJU6h","Numb","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:4Gfnly5CzMJQqkUFfoHaP3","Meteora","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-09-16","https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b","1","13","187520","https://p.scdn.co/mp3-preview/d6d67b4f23b4865e07821f78c45a98035da95d61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USWB10300474","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:4dASQiO1Eoo3RJvt74FtXB","Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:137W8MRPWKqSmrBGDBFSop, spotify:artist:53XhwfbYqKCa1cC15pYq2q, spotify:artist:3NPpFNZtSTHheNBaWC82rB, spotify:artist:4xRYI6VqpkE3UwrDrAZL8L, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Lil Wayne, Wiz Khalifa, Imagine Dragons, X Ambassadors, Logic, Ty Dolla $ign","spotify:album:704GHNtZhEe9TBgleCNNGv","Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)","spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:137W8MRPWKqSmrBGDBFSop, spotify:artist:53XhwfbYqKCa1cC15pYq2q","Lil Wayne, Wiz Khalifa, Imagine Dragons","2016-06-24","https://i.scdn.co/image/ab67616d0000b2737d8dfcfd507069d7f2062caf","1","1","243490","https://p.scdn.co/mp3-preview/b606811412cc3e1a52fc34c44d7bebe633efc1b9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT21601893","spotify:user:215jggoqy3fuc4zqw4mkirtuy","2024-10-02T19:49:07Z"
